Aug 28 14:40:29 hanreybtiz systemd[1]: Started exchanger-camunda-worker.service - Exchanger.py - Camunda Worker.
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:75 | ============================================================
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_check_response_queue:302 | Найдено 4 сообщений в очереди ответов, обрабатываем...
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff795872-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:433 | Задача ff795872-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:477 | Задача ff795872-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_0xmi3rr
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff797e86-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:433 | Задача ff797e86-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:477 | Задача ff797e86-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_0yxi3uz
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff797e8a-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:433 | Задача ff797e8a-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:477 | Задача ff797e8a-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_0pykqqg
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff797e8e-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:433 | Задача ff797e8e-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_process_response_message:477 | Задача ff797e8e-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_1nptpu5
Aug 28 18:09:34 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:34 | INFO     | camunda_worker:_check_response_queue:315 | Обработано 4 ответов из очереди
Aug 28 18:09:41 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:41 | INFO     | camunda_worker:_process_task:251 | Задача 26e58156-843a-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_check_response_queue:302 | Найдено 3 сообщений в очереди ответов, обрабатываем...
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff797e92-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:433 | Задача ff797e92-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:477 | Задача ff797e92-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_15spj7b
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff797e96-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:433 | Задача ff797e96-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:477 | Задача ff797e96-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_0aci2ni
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи ff797e9a-8439-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:433 | Задача ff797e9a-8439-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_response_message:477 | Задача ff797e9a-8439-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_07j9woc
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_check_response_queue:315 | Обработано 3 ответов из очереди
Aug 28 18:09:44 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:09:44 | INFO     | camunda_worker:_process_task:251 | Задача 2ce32a8f-843a-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_check_response_queue:302 | Найдено 2 сообщений в очереди ответов, обрабатываем...
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи 26e58156-843a-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_process_response_message:433 | Задача 26e58156-843a-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_process_response_message:477 | Задача 26e58156-843a-11f0-a007-00b436387543 не требует ответа от пользователя (ufResultExpected: None), пропускаем установку переменной Activity_1l9mnpa
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи 2ce32a8f-843a-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_process_response_message:433 | Задача 2ce32a8f-843a-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:10:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:10:14 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
